mrp;price;product_category;rating;review_count;Silk;Cotton;Modal;Nylon;Rayon;Spandex;Elastane;polyester;Viscose;Polyurethane
72;72;Collections;0;0;0;0;0;72;0;28;0;0;0;0
38;25.99;Panties;0;0;0;0;0;100;0;0;0;0;0;0
63;63;Bras-and-tops;4;1;0;0;0;100;0;0;0;0;0;0
63;63;Bras-and-tops;4;1;0;0;0;100;0;0;0;0;0;0
10;10;Lingerie;0;0;0;0;0;88;0;12;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;100;0;0;0;0;0;0
86;86;Lingerie;0;0;0;0;0;75;25;0;0;0;0;0
29;29;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
50;50;Bras-and-tops;0;0;0;0;0;77;0;18;0;5;0;0
59;59;Collections;0;0;0;0;0;100;0;0;0;0;0;0
54;54;Collections;0;0;0;0;0;75;25;0;0;0;0;0
30;30;Thongs;3;1;0;0;0;82;6;12;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
29;29;Collections;0;0;0;0;0;100;0;0;0;0;0;0
29;29;Collections;0;0;0;0;0;100;0;0;0;0;0;0
29;29;Collections;0;0;0;0;0;100;0;0;0;0;0;0
19;19;Thongs;0;0;0;0;0;88;0;12;0;0;0;0
19;19;Thongs;0;0;0;0;0;88;0;12;0;0;0;0
19;19;Thongs;0;0;0;0;0;88;0;12;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
64;64;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
86;86;Collections;0;0;0;0;0;75;25;0;0;0;0;0
86;86;Collections;0;0;0;0;0;75;25;0;0;0;0;0
86;86;Collections;0;0;0;0;0;75;25;0;0;0;0;0
86;86;Collections;0;0;0;0;0;75;25;0;0;0;0;0
86;86;Collections;0;0;0;0;0;75;25;0;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
24;24;Collections;0;0;0;0;0;100;0;0;0;0;0;0
83;83;Collections;0;0;0;0;0;95;0;5;0;0;0;0
64;64;Bras-and-tops;0;0;0;0;0;71;15;14;0;0;0;0
75;75;Collections;0;0;0;0;0;100;0;0;0;0;0;0
53;53;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
57;57;Collections;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Bras-and-tops;0;0;0;100;0;0;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
22;22;Collections;4;3;0;0;0;72;0;28;0;0;0;0
32;32;Collections;5;1;0;0;95;0;0;5;0;0;0;0
32;32;Collections;5;1;0;0;95;0;0;5;0;0;0;0
32;32;Collections;5;1;0;0;95;0;0;5;0;0;0;0
32;32;Collections;5;1;0;0;95;0;0;5;0;0;0;0
45;45;Panties;5;1;0;0;0;72;0;28;0;0;0;0
135;135;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
135;135;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
135;135;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;75;25;0;0;0;0;0
69;69;Collections;5;2;0;0;0;100;0;0;0;0;0;0
69;69;Collections;5;2;0;0;0;100;0;0;0;0;0;0
69;69;Collections;5;2;0;0;0;100;0;0;0;0;0;0
69;69;Collections;5;2;0;0;0;100;0;0;0;0;0;0
49;49;Lingerie;0;0;0;0;0;90;0;10;0;0;0;0
70;70;Bras-and-tops;0;0;0;0;0;90;0;10;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
89;89;Collections;0;0;0;0;100;0;0;0;0;0;0;0
53;53;Collections;0;0;0;0;95;0;0;5;0;0;0;0
53;53;Collections;0;0;0;0;95;0;0;5;0;0;0;0
53;53;Collections;0;0;0;0;95;0;0;5;0;0;0;0
53;53;Collections;0;0;0;0;95;0;0;5;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
30;30;Panties;5;3;0;0;0;72;0;28;0;0;0;0
110;110;Collections;0;0;0;0;0;100;0;0;0;0;0;0
110;110;Collections;0;0;0;0;0;100;0;0;0;0;0;0
72;72;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;0;0;0;0;100;0;0
30;30;Collections;0;0;0;0;0;95;0;5;0;0;0;0
30;30;Collections;0;0;0;0;0;95;0;5;0;0;0;0
48;48;Bras-and-tops;0;0;0;96;0;0;0;4;0;0;0;0
48;48;Bras-and-tops;0;0;0;96;0;0;0;4;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
38;38;Thongs;0;0;0;0;0;71;15;14;0;0;0;0
72;72;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
57;57;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
57;57;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
57;57;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
73;73;Collections;0;0;0;100;0;0;0;0;0;0;0;0
60;60;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
54;54;Thongs;0;0;0;96;0;0;0;4;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
64;64;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
89;89;Collections;0;0;0;0;0;90;0;10;0;0;0;0
64;64;Collections;0;0;0;0;0;71;15;14;0;0;0;0
29;29;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
108;108;Collections;0;0;0;0;0;95;0;5;0;0;0;0
108;108;Collections;0;0;0;0;0;95;0;5;0;0;0;0
108;108;Collections;0;0;0;0;0;95;0;5;0;0;0;0
32;32;Panties;0;0;0;0;0;100;0;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;75;25;0;0;0;0;0
18;18;Collections;0;0;0;0;0;0;0;0;0;100;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
64;64;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
102;102;Lingerie;0;0;0;0;0;0;0;0;0;100;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
98;98;Thongs;5;1;0;0;0;100;0;0;0;0;0;0
98;98;Thongs;5;1;0;0;0;100;0;0;0;0;0;0
25;25;Collections;0;0;0;0;0;90;0;10;0;0;0;0
48;48;Collections;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;89;0;11;0;0;0;0
79;79;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
79;79;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
72;72;Collections;0;0;0;0;0;89;0;11;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
23;23;Thongs;5;10;0;0;0;79;0;21;0;0;0;0
20;20;Collections;5;2;0;0;0;100;0;0;0;0;0;0
20;20;Collections;5;2;0;0;0;100;0;0;0;0;0;0
20;20;Collections;5;2;0;0;0;100;0;0;0;0;0;0
47;47;Collections;5;1;0;0;0;79;0;21;0;0;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
96;96;Collections;0;0;0;0;0;72;0;28;0;0;0;0
49;49;Panties;0;0;0;0;0;82;0;18;0;0;0;0
49;49;Panties;0;0;0;0;0;82;0;18;0;0;0;0
49;49;Panties;0;0;0;0;0;82;0;18;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
53;53;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
90;90;Collections;5;1;0;0;0;100;0;0;0;0;0;0
90;90;Collections;5;1;0;0;0;100;0;0;0;0;0;0
90;90;Collections;5;1;0;0;0;100;0;0;0;0;0;0
90;90;Collections;5;1;0;0;0;100;0;0;0;0;0;0
90;90;Collections;5;1;0;0;0;100;0;0;0;0;0;0
100;100;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
82;82;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
82;82;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
108;108;Lingerie;0;0;0;0;0;95;0;5;0;0;0;0
108;108;Lingerie;0;0;0;0;0;95;0;5;0;0;0;0
108;108;Lingerie;0;0;0;0;0;95;0;5;0;0;0;0
42;42;Panties;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Bras-and-tops;0;0;0;100;0;0;0;0;0;0;0;0
58;58;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
96;96;Lingerie;0;0;0;0;0;90;0;10;0;0;0;0
96;96;Lingerie;0;0;0;0;0;90;0;10;0;0;0;0
34;34;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
66;66;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
66;66;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
36;36;Collections;3;1;0;0;0;82;0;18;0;0;0;0
36;36;Collections;3;1;0;0;0;82;0;18;0;0;0;0
53;53;Collections;0;0;0;0;0;72;0;28;0;0;0;0
57;57;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
18;18;Collections;0;0;0;0;0;88;0;12;0;0;0;0
18;18;Collections;0;0;0;0;0;88;0;12;0;0;0;0
18;18;Collections;0;0;0;0;0;88;0;12;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
52;52;Collections;0;0;0;0;0;100;0;0;0;0;0;0
52;52;Collections;0;0;0;0;0;100;0;0;0;0;0;0
48;48;Collections;0;0;0;0;0;100;0;0;0;0;0;0
48;48;Collections;0;0;0;0;0;100;0;0;0;0;0;0
48;48;Collections;0;0;0;0;0;100;0;0;0;0;0;0
48;48;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
68;68;Collections;0;0;0;96;0;0;0;4;0;0;0;0
68;68;Collections;0;0;0;96;0;0;0;4;0;0;0;0
68;68;Collections;0;0;0;96;0;0;0;4;0;0;0;0
68;68;Collections;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
43;43;Collections;0;0;0;0;0;77;0;0;19;0;4;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Panties;0;0;0;96;0;0;0;4;0;0;0;0
56;56;Collections;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Collections;0;0;0;100;0;0;0;0;0;0;0;0
46;46;Panties;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
29;29;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
66;66;Collections;5;1;0;0;0;100;0;0;0;0;0;0
25;25;Collections;0;0;0;0;0;90;0;10;0;0;0;0
49;49;Collections;0;0;0;0;0;90;0;10;0;0;0;0
21;21;Thongs;0;0;0;0;0;88;0;12;0;0;0;0
41;41;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
36;36;Panties;0;0;0;0;0;100;0;0;0;0;0;0
36;36;Panties;0;0;0;0;0;100;0;0;0;0;0;0
88;88;Collections;0;0;0;0;0;100;0;0;0;0;0;0
88;88;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
53;35.99;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Collections;0;0;0;0;0;75;25;0;0;0;0;0
66;66;Bras-and-tops;0;0;0;0;0;72;0;28;0;0;0;0
34;34;Panties;0;0;0;0;0;0;0;0;0;100;0;0
34;34;Panties;0;0;0;0;0;0;0;0;0;100;0;0
34;34;Panties;0;0;0;0;0;0;0;0;0;100;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Panties;5;2;0;96;0;0;0;4;0;0;0;0
32;32;Panties;5;2;0;96;0;0;0;4;0;0;0;0
32;32;Panties;5;2;0;96;0;0;0;4;0;0;0;0
32;32;Panties;5;2;0;96;0;0;0;4;0;0;0;0
68;68;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
68;68;Lingerie;0;0;0;0;0;0;90;10;0;0;0;0
78;78;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Panties;5;1;0;0;0;100;0;0;0;0;0;0
35;35;Panties;5;1;0;0;0;100;0;0;0;0;0;0
35;35;Panties;5;1;0;0;0;100;0;0;0;0;0;0
35;35;Panties;5;1;0;0;0;100;0;0;0;0;0;0
35;35;Panties;5;1;0;0;0;100;0;0;0;0;0;0
23;23;Thongs;0;0;0;0;0;92;0;8;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
108;108;Collections;0;0;0;0;0;75;25;0;0;0;0;0
108;108;Collections;0;0;0;0;0;75;25;0;0;0;0;0
96;96;Lingerie;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
20;20;Collections;0;0;0;0;0;88;0;12;0;0;0;0
20;20;Collections;0;0;0;0;0;88;0;12;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
135;135;Collections;0;0;0;0;0;100;0;0;0;0;0;0
135;135;Collections;0;0;0;0;0;100;0;0;0;0;0;0
135;135;Collections;0;0;0;0;0;100;0;0;0;0;0;0
18;18;Thongs;0;0;0;96;0;0;0;4;0;0;0;0
18;18;Thongs;0;0;0;96;0;0;0;4;0;0;0;0
18;18;Thongs;0;0;0;96;0;0;0;4;0;0;0;0
108;108;Lingerie;0;0;0;0;0;75;25;0;0;0;0;0
108;108;Lingerie;0;0;0;0;0;75;25;0;0;0;0;0
27;27;Thongs;0;0;0;0;0;72;0;28;0;0;0;0
24;24;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
22;22;Collections;5;1;0;0;0;72;0;28;0;0;0;0
22;22;Collections;5;1;0;0;0;72;0;28;0;0;0;0
22;22;Collections;5;1;0;0;0;72;0;28;0;0;0;0
22;22;Collections;5;1;0;0;0;72;0;28;0;0;0;0
22;22;Collections;5;1;0;0;0;72;0;28;0;0;0;0
36;36;Collections;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
34;34;Panties;0;0;0;0;0;72;0;28;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
46;46;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
52;52;Collections;0;0;0;0;0;90;0;10;0;0;0;0
52;52;Collections;0;0;0;0;0;90;0;10;0;0;0;0
98;98;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
42;42;Collections;0;0;0;0;0;100;0;0;0;0;0;0
53;53;Bras-and-tops;0;0;0;0;0;0;95;5;0;0;0;0
66;66;Bras-and-tops;0;0;0;0;0;78;0;22;0;0;0;0
22;22;Thongs;0;0;0;0;0;0;95;5;0;0;0;0
22;22;Thongs;0;0;0;0;0;0;95;5;0;0;0;0
22;22;Thongs;0;0;0;0;0;0;95;5;0;0;0;0
22;22;Thongs;0;0;0;0;0;0;95;5;0;0;0;0
22;22;Thongs;0;0;0;0;0;0;95;5;0;0;0;0
25;25;Collections;0;0;0;0;0;90;0;10;0;0;0;0
160;160;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
160;160;Thongs;0;0;0;0;0;100;0;0;0;0;0;0
45;45;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
94;94;Collections;0;0;0;0;0;0;90;10;0;0;0;0
94;94;Collections;0;0;0;0;0;0;90;10;0;0;0;0
58;58;Collections;0;0;0;0;0;100;0;0;0;0;0;0
58;58;Collections;0;0;0;0;0;100;0;0;0;0;0;0
58;58;Collections;0;0;0;0;0;100;0;0;0;0;0;0
58;58;Collections;0;0;0;0;0;100;0;0;0;0;0;0
45;45;Panties;0;0;0;0;0;72;0;28;0;0;0;0
49;49;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
49;49;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
49;49;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
30;30;Collections;3;1;0;0;0;82;6;12;0;0;0;0
98;98;Collections;5;1;0;0;0;100;0;0;0;0;0;0
98;98;Collections;5;1;0;0;0;100;0;0;0;0;0;0
72;72;Bras-and-tops;0;0;0;0;0;0;0;0;0;100;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Panties;0;0;0;0;0;100;0;0;0;0;0;0
69;69;Collections;0;0;0;0;0;79;0;21;0;0;0;0
69;69;Collections;0;0;0;0;0;79;0;21;0;0;0;0
98;98;Collections;0;0;0;0;0;0;95;5;0;0;0;0
25;25;Collections;0;0;0;0;0;100;0;0;0;0;0;0
62;62;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
59;59;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
59;59;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
59;59;Bras-and-tops;0;0;0;0;0;100;0;0;0;0;0;0
35;35;Thongs;0;0;0;0;0;79;0;21;0;0;0;0
35;35;Thongs;0;0;0;0;0;79;0;21;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;79;0;21;0;0;0;0
39;39;Collections;0;0;0;0;0;79;0;21;0;0;0;0
30;30;Collections;0;0;0;0;0;72;0;28;0;0;0;0
38;38;Panties;0;0;0;0;0;89;0;11;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
70;70;Collections;0;0;0;0;0;100;0;0;0;0;0;0
40;40;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
40;40;Lingerie;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
28;28;Collections;0;0;0;0;0;100;0;0;0;0;0;0
59;59;Bras-and-tops;0;0;0;0;0;82;6;12;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
34;34;Panties;5;3;0;0;0;100;0;0;0;0;0;0
42;42;Panties;0;0;0;0;0;94;0;6;0;0;0;0
42;42;Panties;0;0;0;0;0;94;0;6;0;0;0;0
140;140;Lingerie;5;1;0;0;0;100;0;0;0;0;0;0
140;140;Lingerie;5;1;0;0;0;100;0;0;0;0;0;0
54;54;Collections;0;0;0;0;0;100;0;0;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
54;54;Bras-and-tops;0;0;0;0;0;89;0;11;0;0;0;0
56;56;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
53;53;Collections;0;0;0;0;0;100;0;0;0;0;0;0
32;32;Collections;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Collections;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Collections;0;0;0;96;0;0;0;4;0;0;0;0
32;32;Collections;0;0;0;96;0;0;0;4;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
56;56;Bras-and-tops;5;1;0;0;0;79;0;21;0;0;0;0
60;60;Collections;0;0;0;100;0;0;0;0;0;0;0;0
32;32;Collections;0;0;0;0;0;100;0;0;0;0;0;0
39;39;Collections;0;0;0;0;0;100;0;0;0;0;0;0
78;78;Collections;0;0;0;0;0;100;0;0;0;0;0;0
60;60;Collections;0;0;0;0;0;100;0;0;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
25;25;Thongs;0;0;0;0;0;90;0;10;0;0;0;0
84;84;Collections;0;0;0;0;0;100;0;0;0;0;0;0
